,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01/01,272.311,257.122,271.411,250.511,248.578,253.0,255.023,253.944,232.6,259.589,255.023,255.023,255.023,282.722,226.5,255.023
01/02,270.278,244.211,270.0,250.967,255.789,252.578,254.544,264.011,245.056,255.023,264.522,256.767,252.389,255.023,255.023,254.056
01/03,256.978,224.611,268.789,253.1,254.878,255.023,255.023,264.078,242.689,306.0,255.023,255.023,255.023,302.233,212.689,255.023
01/04,252.656,225.322,267.678,245.4,233.267,258.911,231.267,269.971,244.467,273.175,260.7,255.023,244.767,255.023,236.244,260.733
01/05,260.767,233.611,249.533,262.267,234.2,255.023,255.023,279.744,250.989,280.511,255.023,270.489,248.756,303.578,255.023,255.023
01/06,248.1,242.244,259.411,261.744,241.144,259.856,255.023,255.023,255.023,279.378,258.667,255.023,255.023,255.023,240.256,256.033
01/07,264.144,255.023,245.956,257.4,267.978,255.023,244.1,259.633,252.389,267.167,255.023,240.778,269.744,267.933,255.023,267.8
01/08,262.844,242.978,242.6,260.922,256.478,279.7,255.023,263.556,255.023,243.133,293.011,255.023,255.023,255.023,215.189,255.023
01/09,256.267,237.356,247.6,247.3,256.733,270.767,272.289,253.45,275.7,255.023,292.467,237.833,259.6,255.023,255.023,250.089
01/10,252.3,238.433,252.422,247.789,246.556,286.467,255.023,255.6,255.023,259.511,255.023,255.023,255.023,249.556,219.133,255.023
01/11,256.278,234.067,260.278,245.422,255.023,294.311,269.7,251.7,234.867,255.023,274.0,259.233,259.633,255.023,238.911,268.622
01/12,256.556,229.067,247.033,257.633,263.878,255.023,260.9,248.333,232.356,279.7,255.023,263.678,255.023,259.856,255.023,255.023
01/13,275.478,235.267,248.733,255.023,272.444,291.411,281.778,255.023,255.023,282.256,261.156,255.023,239.467,255.023,233.833,252.267
01/14,255.167,226.344,243.389,252.444,288.867,255.023,279.378,244.3,224.667,268.833,255.023,268.4,237.844,306.767,255.023,243.811
01/15,258.222,237.278,236.422,251.556,289.889,292.778,255.023,236.533,255.023,279.444,250.1,255.023,255.023,255.023,214.1,255.023
01/16,254.8,232.156,237.244,255.767,261.2,255.023,300.533,228.344,240.767,255.023,255.023,285.522,233.278,300.911,255.023,242.567
01/17,250.278,260.033,247.144,255.822,256.833,244.267,255.023,229.856,254.067,284.633,255.023,255.023,255.023,303.911,223.833,255.023
01/18,229.733,248.889,251.656,256.067,244.467,255.023,270.211,237.856,249.067,255.023,271.011,278.0,235.311,255.023,255.023,270.211
01/19,229.811,235.422,247.667,254.556,268.822,255.023,255.023,237.167,239.589,265.8,255.023,281.178,255.023,313.789,242.578,255.023
01/20,255.023,236.278,241.633,245.244,261.687,246.889,271.1,246.0,242.367,253.05,256.489,255.023,257.833,255.023,236.511,282.2
